source,target,originLocation,destLocation,duplicateSize
320,221,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/HsqlArrayHeap.java|(7983,150,<291,0>,<299,5>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcColumnMetaData.java|(4666,150,<148,0>,<156,5>)",6
234,329,"|java+compilationUnit:///base/trunk/src/org/hsqldb/util/preprocessor/Token.java|(3153,133,<86,0>,<92,5>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/util/preprocessor/Preprocessor.java|(20848,133,<604,0>,<610,5>)",6
390,331,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/IntValueHashMap.java|(5069,157,<191,0>,<198,29>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/MultiValueHashMap.java|(4147,157,<147,0>,<154,29>)",5
222,387,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/IntervalType.java|(12001,217,<383,0>,<395,9>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/types/DateTimeType.java|(6461,217,<230,0>,<242,9>)",9
290,365,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/NullType.java|(2115,149,<57,0>,<65,5>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/types/ClobType.java|(2376,149,<63,0>,<71,5>)",6
46,257,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/IntKeyIntValueHashMap.java|(4874,451,<184,0>,<203,29>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/IntKeyHashMap.java|(4530,451,<169,0>,<188,29>)",14
2,119,"|java+compilationUnit:///base/trunk/src/org/hsqldb/util/DatabaseManager.java|(20997,329,<676,0>,<687,31>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/util/ZaurusDatabaseManager.java|(15853,329,<497,0>,<508,31>)",6
346,287,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcNClobTest.java|(5396,735,<164,0>,<191,49>)","|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcClobTest.java|(5425,732,<165,0>,<191,49>)",15
50,47,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyLongValueHashMap.java|(5076,248,<192,0>,<202,41>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/IntKeyIntValueHashMap.java|(4098,248,<150,0>,<160,41>)",7
188,305,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcBlobTest.java|(2076,165,<50,0>,<57,25>)","|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcDatabaseMetaDataTest.java|(4542,165,<120,0>,<127,25>)",5
50,47,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyLongValueHashMap.java|(5076,248,<192,0>,<202,41>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/IntKeyIntValueHashMap.java|(4916,248,<185,0>,<195,41>)",7
112,207,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/CharacterType.java|(8695,217,<266,0>,<278,9>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/types/BinaryType.java|(5667,217,<175,0>,<187,9>)",9
40,215,"|java+compilationUnit:///base/trunk/src/org/hsqldb/NumberSequence.java|(3929,212,<129,0>,<141,5>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/TriggerDef.java|(7285,212,<177,0>,<189,5>)",9
66,185,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/BooleanType.java|(2275,149,<65,0>,<73,5>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/types/NumberType.java|(5293,149,<156,0>,<164,5>)",6
306,175,"|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestSql.java|(25095,339,<686,0>,<700,45>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestMerge.java|(11118,339,<325,0>,<339,45>)",10
130,133,"|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcResultSetMetaData.java|(37379,1402,<912,0>,<938,5>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcDatabaseMetaData.java|(256166,1400,<5980,0>,<6006,5>)",6
130,251,"|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcResultSetMetaData.java|(37379,1402,<912,0>,<938,5>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcResultSet.java|(286880,1402,<6645,0>,<6671,5>)",6
2,183,"|java+compilationUnit:///base/trunk/src/org/hsqldb/util/DatabaseManager.java|(17412,239,<573,0>,<578,41>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/util/DatabaseManagerSwing.java|(40076,239,<1075,0>,<1080,41>)",5
102,147,"|java+compilationUnit:///base/trunk/src/org/hsqldb/CommandParser.java|(20593,132,<676,0>,<682,5>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/DDLParser.java|(77325,132,<2624,0>,<2630,5>)",6
364,67,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/ClobType.java|(3152,233,<105,0>,<112,70>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/types/BooleanType.java|(3431,233,<121,0>,<128,70>)",5
36,51,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/HashMap.java|(3102,139,<98,0>,<107,5>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/LongKeyLongValueHashMap.java|(3539,139,<121,0>,<130,5>)",6
386,185,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/DateTimeType.java|(6461,217,<230,0>,<242,9>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/types/NumberType.java|(13433,217,<432,0>,<444,9>)",9
66,185,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/BooleanType.java|(2968,224,<99,0>,<113,9>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/types/NumberType.java|(13426,224,<430,0>,<444,9>)",10
118,3,"|java+compilationUnit:///base/trunk/src/org/hsqldb/util/ZaurusDatabaseManager.java|(15986,196,<500,0>,<508,31>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/util/DatabaseManager.java|(19866,196,<640,0>,<648,31>)",5
340,375,"|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestLikePredicateOptimizations.java|(6744,158,<222,0>,<228,1>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestBug808460.java|(2932,158,<85,0>,<91,1>)",5
182,119,"|java+compilationUnit:///base/trunk/src/org/hsqldb/util/DatabaseManagerSwing.java|(48074,388,<1285,0>,<1292,55>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/util/ZaurusDatabaseManager.java|(17638,388,<548,0>,<555,55>)",7
66,365,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/BooleanType.java|(3076,116,<107,0>,<113,9>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/types/ClobType.java|(2826,116,<91,0>,<97,9>)",5
184,223,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/NumberType.java|(13534,116,<438,0>,<444,9>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/types/IntervalType.java|(12102,116,<389,0>,<395,9>)",5
218,135,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcConnectionTest.java|(2346,165,<59,0>,<66,25>)","|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/UtilTest.java|(11657,173,<276,0>,<283,25>)",5
146,27,"|java+compilationUnit:///base/trunk/src/org/hsqldb/DDLParser.java|(90905,139,<3151,0>,<3158,9>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/Parser.java|(35472,139,<1121,0>,<1128,9>)",5
110,305,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcParameterMetaDataTest.java|(1974,165,<46,0>,<53,25>)","|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcDatabaseMetaDataTest.java|(4542,165,<120,0>,<127,25>)",5
226,85,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/WrapperIterator.java|(5492,247,<195,0>,<208,26>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/BaseList.java|(3986,287,<156,0>,<169,30>)",9
36,331,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/HashMap.java|(4281,157,<157,0>,<164,29>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/MultiValueHashMap.java|(4147,157,<147,0>,<154,29>)",5
52,93,"|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/pool/ManagedPoolDataSource.java|(19394,1437,<468,0>,<495,5>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcPreparedStatement.java|(145700,1437,<3489,0>,<3516,5>)",7
332,133,"|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcStatement.java|(71599,1356,<1747,0>,<1772,88>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/jdbc/jdbcDatabaseMetaData.java|(256131,1354,<5979,0>,<6004,88>)",5
278,173,"|java+compilationUnit:///base/trunk/src/org/hsqldb/dbinfo/DatabaseInformationFull.java|(121582,117,<3142,0>,<3149,5>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/dbinfo/DatabaseInformationMain.java|(67775,117,<1681,0>,<1688,5>)",5
218,199,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcConnectionTest.java|(2346,165,<59,0>,<66,25>)","|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/JdbcTestCase.java|(16182,165,<376,0>,<383,25>)",5
372,195,"|java+compilationUnit:///base/trunk/src/org/hsqldb/dbinfo/DITypeInfo.java|(13851,198,<409,0>,<415,33>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/Types.java|(29730,198,<850,0>,<856,33>)",5
26,147,"|java+compilationUnit:///base/trunk/src/org/hsqldb/Parser.java|(24159,134,<759,0>,<765,13>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/DDLParser.java|(70583,134,<2373,0>,<2379,13>)",5
2,119,"|java+compilationUnit:///base/trunk/src/org/hsqldb/util/DatabaseManager.java|(19733,329,<637,0>,<648,31>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/util/ZaurusDatabaseManager.java|(15853,329,<497,0>,<508,31>)",6
374,341,"|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestBug808460.java|(2438,312,<66,0>,<76,34>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/test/TestLikePredicateOptimizations.java|(6185,316,<202,0>,<212,34>)",6
110,347,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcParameterMetaDataTest.java|(1948,198,<45,0>,<54,5>)","|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcNClobTest.java|(2042,198,<49,0>,<58,5>)",7
386,223,"|java+compilationUnit:///base/trunk/src/org/hsqldb/types/DateTimeType.java|(12340,223,<420,0>,<431,23>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/types/IntervalType.java|(19194,223,<584,0>,<595,23>)",8
286,347,"|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcClobTest.java|(5425,732,<165,0>,<191,49>)","|java+compilationUnit:///base/trunk/test/org/hsqldb/jdbc/jdbcNClobTest.java|(5396,735,<164,0>,<191,49>)",15
36,47,"|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/HashMap.java|(4805,248,<181,0>,<191,41>)","|java+compilationUnit:///base/trunk/src/org/hsqldb/lib/IntKeyIntValueHashMap.java|(4916,248,<185,0>,<195,41>)",7
