index,year,package,className,direction
141,2007,base.trunk.src.org.hsqldb.test,TestSchemaParse,To
142,2007,base.trunk.src.org.hsqldb.test,TestAllTypes,From
143,2007,base.trunk.src.org.hsqldb.test,TestAllTypes,To
144,2007,base.trunk.src.org.hsqldb.util,ZaurusChoice,From
145,2007,base.trunk.src.org.hsqldb.util,ZaurusChoice,To
146,2007,base.trunk.src.org.hsqldb,DDLParser,From
147,2007,base.trunk.src.org.hsqldb,DDLParser,To
148,2007,base.trunk.src.org.hsqldb,SQLFunction,From
149,2007,base.trunk.src.org.hsqldb,SQLFunction,To
150,2007,base.trunk.src.org.hsqldb.types,ClobDataMemory,From
151,2007,base.trunk.src.org.hsqldb.types,ClobDataMemory,To
152,2007,base.trunk.src.org.hsqldb.util,ZaurusTextField,From
153,2007,base.trunk.src.org.hsqldb.util,ZaurusTextField,To
154,2007,base.trunk.src.org.hsqldb.util,ZaurusConnectionDialog,From
155,2007,base.trunk.src.org.hsqldb.util,ZaurusConnectionDialog,To
156,2007,base.trunk.src.org.hsqldb,SchemaManager,From
157,2007,base.trunk.src.org.hsqldb,SchemaManager,To
158,2007,base.trunk.src.org.hsqldb,TableWorks,From
159,2007,base.trunk.src.org.hsqldb,TableWorks,To
160,2007,base.trunk.src.org.hsqldb.lib,ClosableByteArrayOutputStream,From
161,2007,base.trunk.src.org.hsqldb.lib,ClosableByteArrayOutputStream,To
162,2007,base.trunk.src.org.hsqldb.test,TestTimestamp,From
163,2007,base.trunk.src.org.hsqldb.test,TestTimestamp,To
164,2007,base.trunk.src.org.hsqldb.sample,Testdb,From
165,2007,base.trunk.src.org.hsqldb.sample,Testdb,To
166,2007,base.trunk.src.org.hsqldb,LegacyFunction,From
167,2007,base.trunk.src.org.hsqldb,LegacyFunction,To
168,2007,base.trunk.src.org.hsqldb.jdbc,jdbcConnection,From
169,2007,base.trunk.src.org.hsqldb.jdbc,jdbcConnection,To
170,2007,base.trunk.src.org.hsqldb.navigator,LinkedListRowSetNavigator,From
171,2007,base.trunk.src.org.hsqldb.navigator,LinkedListRowSetNavigator,To
172,2007,base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationMain,From
173,2007,base.trunk.src.org.hsqldb.dbinfo,DatabaseInformationMain,To
174,2007,base.trunk.src.org.hsqldb.test,TestMerge,From
175,2007,base.trunk.src.org.hsqldb.test,TestMerge,To
176,2007,base.trunk.src.org.hsqldb.persist,Log,From
177,2007,base.trunk.src.org.hsqldb.persist,Log,To
178,2007,base.trunk.src.org.hsqldb.test,TestJDBCSavepoints,From
179,2007,base.trunk.src.org.hsqldb.test,TestJDBCSavepoints,To
180,2007,base.trunk.src.org.hsqldb,Function,From
181,2007,base.trunk.src.org.hsqldb,Function,To
182,2007,base.trunk.src.org.hsqldb.util,DatabaseManagerSwing,From
183,2007,base.trunk.src.org.hsqldb.util,DatabaseManagerSwing,To
184,2007,base.trunk.src.org.hsqldb.types,NumberType,From
185,2007,base.trunk.src.org.hsqldb.types,NumberType,To
186,2007,base.trunk.src.org.hsqldb.lib,LongKeyHashMap,From
187,2007,base.trunk.src.org.hsqldb.lib,LongKeyHashMap,To
188,2007,base.trunk.test.org.hsqldb.jdbc,jdbcBlobTest,From
189,2007,base.trunk.test.org.hsqldb.jdbc,jdbcBlobTest,To
190,2007,base.trunk.test.org.hsqldb.jdbc,jdbcResultSetTest,From
191,2007,base.trunk.test.org.hsqldb.jdbc,jdbcResultSetTest,To
192,2007,base.trunk.src.org.hsqldb.types,BlobType,From
193,2007,base.trunk.src.org.hsqldb.types,BlobType,To
194,2007,base.trunk.src.org.hsqldb,Types,From
195,2007,base.trunk.src.org.hsqldb,Types,To
196,2007,base.trunk.src.org.hsqldb.test,HsqldbTestCase,From
197,2007,base.trunk.src.org.hsqldb.test,HsqldbTestCase,To
198,2007,base.trunk.test.org.hsqldb.jdbc,JdbcTestCase,From
199,2007,base.trunk.test.org.hsqldb.jdbc,JdbcTestCase,To
200,2007,base.trunk.src.org.hsqldb.rowio,RowInputBinary,From
201,2007,base.trunk.src.org.hsqldb.rowio,RowInputBinary,To
