versionDate,packageName,className,classSize,duplicateCount,duplicateLines,largestDuplicate
2008,base.trunk.src.org.hsqldb.test,TestBug1191815,63,2,12,7
2007,base.trunk.src.org.hsqldb.test,TestLobs,107,2,10,5
2007,base.trunk.src.org.hsqldb.util,DatabaseManagerSwing,1886,36,300,38
2008,base.trunk.src.org.hsqldb.util,TransferSQLText,636,23,181,22
2008,base.trunk.src.org.hsqldb.jdbc,jdbcParameterMetaData,138,7,53,10
2007,base.trunk.src.org.hsqldb.lib,StringUtil,164,9,73,11
2007,base.trunk.src.org.hsqldb.lib,HashMappedList,125,2,11,6
2007,base.trunk.src.org.hsqldb.types,BlobType,100,18,123,13
2008,base.trunk.src.org.hsqldb.rowio,RowOutputTextQuoted,25,1,5,5
2007,base.trunk.src.org.hsqldb.util.preprocessor,Defines,125,2,14,7
2007,base.trunk.src.org.hsqldb,View,126,1,5,5
2007,base.trunk.src.org.hsqldb.test,JDBCBench,850,21,239,31
2007,base.trunk.src.org.hsqldb.util,DatabaseManager,910,49,447,38
2008,base.trunk.src.org.hsqldb.jdbc,jdbcResultSet,1182,11,70,9
2007,base.trunk.test.org.hsqldb.jdbc,jdbcResultSetMetaDataTest,324,5,55,23
2008,base.trunk.src.org.hsqldb.lib,ClosableCharArrayWriter,147,6,66,17
2007,base.trunk.src.org.hsqldb,DatabaseManager,231,10,84,11
2007,base.trunk.src.org.hsqldb.util,ZaurusEditor,373,1,8,8
2008,base.trunk.src.org.hsqldb.persist,TempDataFileCache,71,2,11,6
2007,base.trunk.src.org.hsqldb.test,TestJDBCSavepoints,244,2,11,6
2007,base.trunk.src.org.hsqldb.types,ClobData,34,3,17,6
2008,base.trunk.src.org.hsqldb.server,Server,1046,3,29,16
2007,base.trunk.src.org.hsqldb.rowio,RowInputBase,178,1,9,9
2007,base.trunk.src.org.hsqldb,NumberSequence,367,12,164,23
2007,base.trunk.src.org.hsqldb,SQLFunction,1238,25,237,20
2007,base.trunk.src.org.hsqldb.server,ServerConfiguration,125,2,22,11
2007,base.trunk.src.org.hsqldb.types,DateTimeType,685,34,256,28
2008,base.trunk.src.org.hsqldb.jdbc,jdbcDataSource,84,6,45,10
2008,base.trunk.src.org.hsqldb.test,TestBug785429,86,3,18,7
2007,base.trunk.src.org.hsqldb,LegacyFunction,113,1,5,5
2007,base.trunk.src.org.hsqldb.util,TransferTable,298,25,222,17
2008,base.trunk.src.org.hsqldb.util,DatabaseManager,915,50,455,38
2007,base.trunk.src.org.hsqldb.store,ValuePoolHashMap,212,26,155,8
2008,base.trunk.src.org.hsqldb.dbinfo,DINameSpace,206,1,6,6
2008,base.trunk.src.org.hsqldb,Row,109,1,6,6
2007,base.trunk.src.org.hsqldb.persist,LockFile,633,9,57,11
2008,base.trunk.src.org.hsqldb.cmdline,SqlTool,473,1,7,7
2007,base.trunk.src.org.hsqldb,DDLParser,2127,60,432,18
